ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF741DCA8022F4D3184D,2023-04-29 00:00:00,001,颗粒物,7.234,20,,0,0,2023-04-30T12:35:09.353,2023-05-01T14:30:11.703,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF741DCA8022F4D3184D,2023-04-29 00:00:00,002,二氧化硫,22.468,80,,0,0,2023-04-30T12:35:09.353,2023-05-01T14:30:11.703,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF741DCA8022F4D3184D,2023-04-29 00:00:00,003,氮氧化物,152.43,250,,0,0,2023-04-30T12:35:09.357,2023-05-01T14:30:11.703,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF741DCA8022F4D3184D,2023-04-29 00:00:00,004,一氧化碳,0.289,80,,0,0,2023-04-30T12:35:09.357,2023-05-01T14:30:11.703,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF741DCA8022F4D3184D,2023-04-29 00:00:00,008,氯化氢,12.181,50,,0,0,2023-04-30T12:35:09.357,2023-05-01T14:30:11.703,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF74BBCD9768F23A6973,2023-04-29 00:00:00,001,颗粒物,6.216,20,,0,0,2023-04-30T12:35:09.137,2023-04-30T12:35:09.137,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF74BBCD9768F23A6973,2023-04-29 00:00:00,002,二氧化硫,15.247,80,,0,0,2023-04-30T12:35:09.137,2023-04-30T12:35:09.137,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF74BBCD9768F23A6973,2023-04-29 00:00:00,003,氮氧化物,140.246,250,,0,0,2023-04-30T12:35:09.137,2023-04-30T12:35:09.137,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF74BBCD9768F23A6973,2023-04-29 00:00:00,004,一氧化碳,0.234,80,,0,0,2023-04-30T12:35:09.137,2023-04-30T12:35:09.137,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF74BBCD9768F23A6973,2023-04-29 00:00:00,008,氯化氢,3.567,50,,0,0,2023-04-30T12:35:09.137,2023-04-30T12:35:09.137,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF7489DBE29F72009401,2023-04-29 00:00:00,001,颗粒物,5.096,20,,0,0,2023-04-30T12:35:09.233,2023-05-01T14:30:11.703,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF7489DBE29F72009401,2023-04-29 00:00:00,002,二氧化硫,14.224,80,,0,0,2023-04-30T12:35:09.233,2023-05-01T14:30:11.703,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF7489DBE29F72009401,2023-04-29 00:00:00,003,氮氧化物,156.169,250,,0,0,2023-04-30T12:35:09.233,2023-05-01T14:30:11.703,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF7489DBE29F72009401,2023-04-29 00:00:00,004,一氧化碳,0.913,80,,0,0,2023-04-30T12:35:09.233,2023-05-01T14:30:11.703,20230429
78660FCBB57BEF7417711C2B71F47074,78660FCBB57BEF7489DBE29F72009401,2023-04-29 00:00:00,008,氯化氢,5.42,50,,0,0,2023-04-30T12:35:09.233,2023-05-01T14:30:11.703,20230429
